Feature,F_Score,P_Value
mfcc_std_21,157.27574,0.0
mfcc_std_8,148.98413,0.0
mfcc_std_1,145.0355,0.0
mfcc_std_22,143.40303,0.0
mfcc_std_23,142.89386,0.0
mfcc_std_11,135.62413,0.0
mfcc_std_24,127.84889,0.0
mfcc_std_25,125.88031,0.0
mfcc_std_31,125.73835,0.0
mfcc_mean_23,123.45035,0.0
mfcc_mean_1,122.87339,0.0
mfcc_std_12,122.07055,0.0
mfcc_std_32,120.61328,0.0
mfcc_std_14,119.16827,0.0
mfcc_std_26,118.48681,0.0
mfcc_std_30,117.24542,0.0
mfcc_std_20,116.69926,0.0
mfcc_std_28,110.79094,0.0
mfcc_std_9,109.33086,0.0
mfcc_std_13,107.96163,0.0
mfcc_std_7,105.48201,1e-45
mfcc_std_2,104.1075,3e-45
mfcc_std_33,99.83504,1.81e-43
mfcc_std_27,98.88142,4.58e-43
mfcc_std_29,94.98073,2.0343e-41
mfcc_std_19,94.39493,3.5976e-41
mfcc_mean_32,93.705925,7.0354e-41
mfcc_mean_34,93.4284,9.2179e-41
mfcc_std_15,91.12298,8.70485e-40
mfcc_std_34,88.50103,1.1208504e-38
mfcc_std_10,88.43674,1.1933591e-38
mfcc_std_3,83.21443,1.9484938e-36
mfcc_std_6,82.05941,6.0197185e-36
mfcc_mean_33,81.61402,9.300813e-36
mfcc_std_18,81.38272,1.1658792e-35
mfcc_std_40,77.90157,3.5023521e-34
mfcc_mean_2,77.75154,4.055827e-34
mfcc_std_17,77.415924,5.6315524e-34
mfcc_mean_27,76.836815,9.922671e-34
mfcc_std_5,74.926575,6.432332e-33
mfcc_mean_25,74.46087,1.0146888e-32
mfcc_mean_39,74.29597,1.1924394e-32
mfcc_mean_21,73.84392,1.8562203e-32
mfcc_std_36,69.389496,1.458114e-30
mfcc_std_16,68.642914,3.0315475e-30
mfcc_std_39,63.092968,7.027287e-28
mfcc_mean_20,62.550194,1.1975481e-27
mfcc_std_38,62.35544,1.45000415e-27
mfcc_mean_19,62.187527,1.7100093e-27
mfcc_std_35,61.914665,2.2356588e-27
mfcc_mean_28,61.865585,2.3460904e-27
mfcc_std_37,60.3388,1.0516529e-26
mfcc_mean_8,59.454582,2.5079843e-26
mfcc_mean_4,54.314133,3.9405413e-24
mfcc_mean_11,52.381535,2.6429117e-23
mfcc_mean_18,52.03378,3.722699e-23
mfcc_std_4,49.1123,6.626689e-22
mfcc_mean_24,48.384308,1.358475e-21
mfcc_mean_37,47.140438,4.633142e-21
mfcc_mean_16,46.596645,7.922717e-21
mfcc_mean_31,46.167828,1.2095813e-20
mfcc_mean_26,42.712284,3.6665683e-19
mfcc_mean_10,40.62709,2.8776158e-18
mfcc_mean_7,40.14657,4.627053e-18
mfcc_mean_30,39.617764,7.804321e-18
mfcc_mean_22,37.963234,4.007681e-17
mfcc_mean_14,37.675507,5.3271586e-17
mfcc_mean_6,36.80683,1.2581277e-16
mfcc_mean_3,34.720917,9.915732e-16
mfcc_mean_35,31.63273,2.112143e-14
mfcc_mean_36,30.069532,9.9446676e-14
mfcc_mean_15,29.084093,2.6419264e-13
mfcc_mean_38,19.865438,2.4963844e-09
mfcc_mean_40,19.490772,3.623293e-09
mfcc_mean_13,17.439856,2.7865058e-08
mfcc_mean_17,11.440894,1.0952398e-05
mfcc_mean_29,10.412964,3.051569e-05
mfcc_mean_9,8.2551565,0.00026249234
mfcc_mean_5,0.57247764,0.56415284
mfcc_mean_12,0.56573427,0.5679693
