label,mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,mfcc_mean_14,mfcc_std_14,mfcc_mean_15,mfcc_std_15,mfcc_mean_16,mfcc_std_16,mfcc_mean_17,mfcc_std_17,mfcc_mean_18,mfcc_std_18,mfcc_mean_19,mfcc_std_19,mfcc_mean_20,mfcc_std_20,mfcc_mean_21,mfcc_std_21,mfcc_mean_22,mfcc_std_22,mfcc_mean_23,mfcc_std_23,mfcc_mean_24,mfcc_std_24,mfcc_mean_25,mfcc_std_25,mfcc_mean_26,mfcc_std_26,mfcc_mean_27,mfcc_std_27,mfcc_mean_28,mfcc_std_28,mfcc_mean_29,mfcc_std_29,mfcc_mean_30,mfcc_std_30,mfcc_mean_31,mfcc_std_31,mfcc_mean_32,mfcc_std_32,mfcc_mean_33,mfcc_std_33,mfcc_mean_34,mfcc_std_34,mfcc_mean_35,mfcc_std_35,mfcc_mean_36,mfcc_std_36,mfcc_mean_37,mfcc_std_37,mfcc_mean_38,mfcc_std_38,mfcc_mean_39,mfcc_std_39,mfcc_mean_40,mfcc_std_40
Normal,-436.66605,55.192844,135.97229,54.984116,83.87341,20.011082,34.71384,16.721504,7.462206,22.768274,1.5952958,16.622356,5.421214,9.976228,10.584565,7.325206,14.949834,7.2032733,18.033722,7.822956,18.636772,7.373005,16.58403,6.37852,13.306411,6.4168134,9.990332,6.1523256,6.685455,5.8055863,3.646546,5.6640024,1.9896704,5.8239017,2.264962,5.7335978,3.435056,4.8315315,4.2114544,3.718367,4.67538,5.777081,5.603251,7.758354,6.649744,7.0176086,6.404106,4.9877033,4.3404646,3.9473236,1.765265,3.911882,0.4087181,3.827533,0.6821663,3.4792092,1.7451444,3.105211,2.7828217,3.4020424,3.580975,4.557919,4.0740843,5.043124,4.0564256,4.9271293,3.5549333,5.1098247,3.022675,5.0714755,2.819873,4.6313033,2.7266095,4.0710974,2.2906597,3.294079,1.5244849,3.0239744,0.92691964,3.1655297
Normal,-435.40826,61.07652,135.79567,57.437984,80.527306,20.73208,31.03569,16.11148,5.4432483,21.564156,1.8109072,16.130882,6.647426,11.273706,11.402705,8.754213,14.636375,6.9542212,16.516556,7.2925544,16.314407,6.9475946,14.392534,6.408481,12.270895,7.7475386,10.314121,7.0143223,7.414245,5.756868,3.4902754,5.844575,0.51059484,5.7375684,0.32360464,5.2856903,2.466809,5.8381977,4.847246,7.1816583,5.946078,7.427393,5.860155,5.640926,5.586713,3.719019,5.7902603,4.677927,6.1475315,7.5682664,5.768802,8.749663,4.3760448,6.8785143,2.9401429,4.7437415,2.693125,4.6009197,3.5426657,4.26349,4.0884743,4.097699,3.4518049,3.9038477,2.4364703,3.9017491,2.3498325,3.592886,3.149316,2.8848684,3.554313,2.7388027,2.8663425,2.489773,1.8308802,3.2487633,1.4165252,3.3810236,1.4535872,2.865852
Normal,-432.37485,51.115166,119.88149,53.676975,75.25569,20.209158,33.02097,12.80236,9.73848,18.820936,5.1131263,14.7732315,8.907601,9.794724,13.53107,6.341643,17.022474,5.0975075,19.24073,6.1195135,19.418808,6.576345,17.308832,7.151233,13.869335,8.53659,10.091684,8.129461,6.3076105,6.6454844,3.0553036,5.3254514,1.4664699,4.2761087,2.0919697,3.2641716,3.926157,2.878767,5.3069043,4.037449,5.5657144,4.594658,5.319023,4.1890187,5.268326,4.153306,5.265014,4.469167,4.716492,4.813229,3.562335,4.573073,2.4924834,3.3854687,2.2298288,3.409727,2.8094916,4.28471,3.62271,4.7005334,4.0290327,4.990317,3.8596592,4.318958,3.4290886,3.1810212,3.1570563,3.0909417,3.1327727,3.0570493,3.0183861,2.8090873,2.4667306,2.5570364,1.6383555,2.1276393,1.0967169,2.116894,1.0907727,2.3199856
Normal,-414.72864,50.56841,132.73322,51.65588,79.893135,20.376566,31.754293,14.53008,4.691791,19.876627,-0.89758164,15.015198,3.5736794,10.1766205,9.442288,7.2362504,13.895437,6.2539983,16.479347,7.1567526,16.597353,7.1165056,14.484954,6.849125,11.379479,7.804977,8.240085,7.3116474,5.276537,6.073112,2.9249058,5.861677,2.0494993,4.8193173,2.889196,3.8873568,4.502379,5.0352964,5.694685,5.9210677,6.039693,5.922723,5.797134,5.1030746,5.232498,4.1942234,4.4127727,3.8944464,3.4721124,4.110367,2.7505229,4.964869,2.5603795,6.151528,2.9052846,6.5035157,3.4671054,5.267661,3.8828545,3.3894427,3.9906075,2.5646052,3.8077667,3.376176,3.3825946,4.018034,2.8336196,3.2822258,2.4479866,2.2492368,2.4711626,2.3813348,2.7333512,2.595406,2.735817,2.676897,2.215422,2.8507156,1.4258531,2.858544
Normal,-548.98047,56.311554,165.69041,51.10829,101.44438,21.238218,39.97479,15.053204,5.356602,21.158812,-0.52520216,15.210157,7.0902586,7.975382,14.178932,6.082855,16.588305,6.626238,17.065418,7.653576,17.99842,6.777549,18.276981,5.654041,15.390306,5.58606,9.206711,7.6330867,2.8073575,8.244102,-0.442926,7.2082677,-0.09953058,4.729832,1.6397665,3.0688071,2.7919638,3.0262506,3.22113,3.2550304,3.6124282,3.537674,4.0414443,3.1508832,3.9927702,2.9530334,3.1173098,3.0231392,1.5005586,3.3058283,-0.40719193,3.6585195,-1.8564581,4.0313993,-2.1769004,4.3418913,-1.3982536,4.151704,-0.22702712,3.7638915,0.78166103,5.299382,1.7807164,7.915966,3.1908176,9.113241,4.9655476,9.287026,6.4983935,10.742624,7.131611,11.939853,6.6533093,10.868869,5.44128,8.989035,4.1834927,7.7973347,3.3267853,6.904213
Normal,-479.82907,40.851192,126.38404,44.015503,86.6851,23.086315,45.921967,9.972597,17.864796,16.229313,6.704902,15.172589,7.540576,10.194709,12.823037,6.87603,17.168436,6.4646907,19.40742,7.612431,20.253576,7.0012164,19.303484,5.4477606,15.446346,5.0949855,9.336451,5.335164,3.5437543,5.643177,0.2933096,5.0976615,-0.1401894,3.6716664,1.013823,2.7650054,2.361066,2.6781774,3.2762427,3.1892145,3.8820257,3.3753865,4.3244357,2.963953,4.241645,2.9442637,3.181928,3.376992,1.4096713,3.6719987,-0.12415226,4.0327406,-0.68714195,4.4765167,-0.30532062,4.7729635,0.56426406,4.8179183,1.5024027,4.831285,2.2708316,5.6633306,2.849214,7.0934243,3.359299,7.8290753,3.8309546,7.8090415,4.167412,8.248473,4.3654895,9.046376,4.5089335,9.328054,4.525733,9.302996,4.207433,8.851178,3.4914646,7.2827344
Normal,-440.0039,44.59266,100.07891,36.841396,70.01268,19.420202,39.155674,8.740901,16.712946,15.160573,7.8365626,14.62033,9.667796,9.400046,16.049833,5.956458,21.424168,6.945904,23.32688,7.6149545,22.03414,6.490806,19.013765,5.0275083,15.471843,4.4032454,11.966936,3.8047059,8.627562,3.2220664,5.5585074,3.3848648,3.063566,3.534907,1.6163878,3.1946602,1.5657076,3.1577775,2.8647726,3.4847233,4.9798155,3.5329366,7.032267,3.7595782,8.132273,4.528703,7.823804,5.1847763,6.329474,5.108958,4.389998,4.1638913,2.816689,2.9309788,2.1012332,2.5341244,2.2598283,2.938356,2.9144537,3.137161,3.518349,2.9232652,3.639855,2.6135335,3.1730304,2.4343996,2.3633277,2.3362622,1.6137749,2.178314,1.2108115,2.0008683,1.1712716,2.050255,1.2975881,2.3119843,1.3385776,2.5870728,1.1429079,2.7203867
Normal,-433.34152,28.08878,88.90204,27.707355,67.72471,18.763752,44.454437,8.988872,25.161264,6.7279434,13.993211,8.738506,10.774461,9.312222,12.90437,8.757621,16.838326,7.8834953,19.790339,6.836952,20.447718,5.7154465,18.8041,4.886427,15.518802,4.2885203,11.479531,3.7206202,7.5168343,3.5873349,4.2904396,3.8368,2.2608593,3.8014984,1.6588833,3.2185752,2.3944094,2.563391,4.0459266,2.7946033,5.9443855,3.5718257,7.361409,4.091644,7.800324,4.3738847,7.254362,4.6043043,6.16144,4.6123185,5.0743356,4.3021007,4.328476,4.069364,3.934353,4.13849,3.6897125,3.991204,3.4012733,3.3237808,3.038785,2.6323445,2.7109728,2.3460422,2.5140657,2.013817,2.4176257,1.5818466,2.2832875,1.5271696,1.9981612,1.6429578,1.592203,1.7694873,1.2051957,2.0609622,0.9270316,2.4135418,0.7153257,2.6702094
Normal,-466.0148,33.61038,105.80908,29.280085,76.78994,19.592625,46.26747,13.369159,22.550276,13.224267,10.548371,11.604337,8.947931,9.74116,13.433447,9.145187,18.994595,9.023877,22.148016,8.575913,21.678825,7.2527986,18.36535,5.283597,13.770075,3.8794653,9.1226225,3.7421896,5.1228776,3.992034,2.4113712,3.9500475,1.454728,3.5717149,2.0339851,3.258432,3.3487966,3.2283213,4.748599,3.172773,6.051004,3.2079833,7.1394205,3.4087477,7.5832253,3.820688,6.9723496,4.2319727,5.482978,4.6894994,3.8176694,5.0870757,2.6182492,4.7200646,2.1470017,3.766127,2.3776343,3.856593,3.077905,4.85527,3.7991135,5.0915623,4.0720615,4.1094794,3.761736,2.6721487,3.141884,2.238543,2.5377383,2.4897635,2.020247,2.3114042,1.5243733,1.7986736,1.0833174,1.7160472,0.77486974,1.9956836,0.57276016,2.0765843
Normal,-410.8181,18.067827,66.91417,22.744125,55.81577,15.718133,41.45087,8.34797,28.021362,6.792958,18.684032,8.933787,14.665611,9.344227,15.201276,8.6879425,18.13889,8.680807,20.964111,8.766293,21.830772,7.676502,20.110708,5.782129,16.284435,4.766333,11.442843,5.211988,6.78202,5.6858206,3.2422338,5.3461103,1.2851641,4.346578,0.85902494,3.6192312,1.5853531,3.7140765,3.0087128,3.972812,4.692028,4.0557384,6.1779118,4.07867,7.0328617,4.0756655,7.0346117,3.975941,6.2978754,3.7136228,5.176387,3.3207605,4.0507774,3.067686,3.1946228,3.1629236,2.73651,3.436067,2.639118,3.534783,2.7215405,3.3473797,2.7890906,3.0647562,2.776416,2.903175,2.7342885,2.8347645,2.6857169,2.7085006,2.5621254,2.6018116,2.3001783,2.6930926,1.9343241,2.8695862,1.5480806,2.9122605,1.1843882,2.8598852
